wavelength_um,reflectance,transmittance,omega,tau,g
7.00,0.455919,0.000000,0.9442,1916.48,0.2721
7.10,0.449797,0.000000,0.9432,1987.14,0.2824
7.20,0.435916,0.000000,0.9400,2063.93,0.2976
7.30,0.419185,0.000000,0.9362,2145.22,0.3177
7.40,0.405445,0.000000,0.9338,2226.79,0.3422
7.50,0.374599,0.000000,0.9256,2280.67,0.3729
7.60,0.351568,0.000000,0.9200,2303.87,0.4039
7.70,0.324728,0.000000,0.9127,2271.68,0.4363
7.80,0.297841,0.000000,0.9044,2180.79,0.4665
7.90,0.276955,0.000000,0.8979,2047.07,0.4918
8.00,0.261129,0.000000,0.8926,1886.48,0.5111
8.10,0.251242,0.000000,0.8895,1711.68,0.5242
8.20,0.241812,0.000000,0.8848,1538.59,0.5301
8.30,0.238392,0.000000,0.8823,1384.96,0.5294
8.40,0.237914,0.000000,0.8804,1250.69,0.5232
8.50,0.238032,0.000000,0.8779,1134.80,0.5128
8.60,0.239792,0.000000,0.8757,1034.47,0.4991
8.70,0.242703,0.000000,0.8739,948.04,0.4833
8.80,0.249839,0.000000,0.8751,875.62,0.4672
8.90,0.257281,0.000000,0.8763,808.65,0.4497
9.00,0.264408,0.000000,0.8772,749.59,0.4319
9.10,0.267184,0.000000,0.8752,698.14,0.4142
9.20,0.268980,0.000000,0.8728,652.88,0.3972
9.30,0.270176,0.000000,0.8701,612.19,0.3808
9.40,0.268765,0.000000,0.8657,576.43,0.3654
9.50,0.265327,0.000000,0.8599,544.59,0.3508
9.60,0.261614,0.000000,0.8539,515.99,0.3373
9.70,0.260172,0.000000,0.8497,488.38,0.3244
9.80,0.261379,0.000000,0.8479,461.74,0.3121
9.90,0.262201,0.000000,0.8459,435.93,0.3001
10.00,0.259691,0.000000,0.8411,413.11,0.2890
10.10,0.256692,0.000000,0.8359,391.52,0.2783
10.20,0.253251,0.000000,0.8303,371.09,0.2680
10.30,0.247093,0.000000,0.8220,352.59,0.2583
10.40,0.236782,0.000000,0.8092,337.00,0.2494
10.50,0.229951,0.000000,0.7995,321.66,0.2410
10.60,0.222371,0.000000,0.7886,307.50,0.2331
10.70,0.214367,0.000000,0.7766,294.24,0.2255
10.80,0.205835,0.000000,0.7634,282.25,0.2183
10.90,0.197379,0.000000,0.7497,271.48,0.2117
11.00,0.190860,0.000000,0.7381,260.80,0.2055
11.10,0.188912,0.000000,0.7331,248.08,0.1992
11.20,0.186327,0.000000,0.7270,235.38,0.1930
11.30,0.183338,0.000000,0.7203,223.15,0.1869
11.40,0.179089,0.000000,0.7113,211.86,0.1810
11.50,0.172863,0.000000,0.6987,201.89,0.1753
11.60,0.164448,0.000000,0.6817,193.52,0.1700
11.70,0.157786,0.000000,0.6671,185.00,0.1648
11.80,0.151295,0.000000,0.6522,176.80,0.1599
11.90,0.144035,0.000000,0.6350,169.26,0.1551
12.00,0.136739,0.000000,0.6169,162.05,0.1504
12.10,0.128946,0.000000,0.5966,155.37,0.1459
12.20,0.120739,0.000000,0.5741,149.28,0.1415
12.30,0.111731,0.000000,0.5480,144.59,0.1373
12.40,0.103395,0.000000,0.5222,139.95,0.1333
12.50,0.095613,0.000000,0.4964,135.41,0.1294
12.60,0.087449,0.000000,0.4678,131.44,0.1255
12.70,0.079898,0.000000,0.4395,127.64,0.1218
12.80,0.072951,0.000000,0.4119,123.93,0.1182
12.90,0.065796,0.000000,0.3818,120.65,0.1147
13.00,0.058804,0.000000,0.3507,117.90,0.1112
13.10,0.051364,0.000000,0.3156,116.28,0.1078
13.20,0.044182,0.000000,0.2796,115.78,0.1045
13.30,0.037303,0.000000,0.2429,116.67,0.1013
13.40,0.031159,0.000000,0.2082,118.31,0.0982
13.50,0.025832,0.000000,0.1765,120.51,0.0953
13.60,0.020911,0.000000,0.1458,124.42,0.0924
13.70,0.016828,0.000000,0.1193,128.94,0.0896
13.80,0.013333,0.000000,0.0958,135.34,0.0869
13.90,0.010585,0.000000,0.0768,142.18,0.0843
14.00,0.008369,0.000000,0.0612,150.32,0.0818
